,,,,,,,,,,,,,
Hand grip,,12,24,23,19,16,7,21,23,-8,6,-7,-16
Push-ups,,,47,56,40,33,30,48,19,-36,32,-21,-17
Pull-ups,,,,82,35,31,23,29,27,-39,33,-13,-22
Chin-ups,,,,,36,33,33,32,35,-42,37,-20,-26
Sit-ups,,,,,,33,23,23,20,-39,34,-25,-12
Squat thrusts,,,,,,,44,20,11,-19,21,-15,-7
Half-hold sit-up,,,,,,,,31,2,-16,25,-19,-7
Leg raises,,,,,,,,,1,-22,25,-17,-12
Standing broad jump,,,,,,,,,,-34,21,-13,-31
880-yd. run-walk,,,,,,,,,,,-70,25,26
12-min. run,,,,,,,,,,,,-31,-15
Harvard step test,,,,,,,,,,,,,-1
75-yd. dash,,,,,,,,,,,,,
