date,start time,start stress,end time,end stress,T pred,result,env
03/09/25,09:38:00 AM,1.5,10:39:00 AM,2,61.00%,T,1
03/10/25,06:46:00 AM,1.8,07:46:00 AM,2.3,39.00%,D,2
03/11/25,07:35:00 AM,1.9,08:35:00 AM,1.8,63.00%,D,3
03/12/25,07:05:00 AM,2,08:08:00 AM,1.9,65.00%,T,4
03/13/25,07:41:00 AM,2,08:42:00 AM,2.2,40.00%,D,5
03/14/25,06:47:00 AM,1.9,07:46:00 AM,2.2,43.00%,D,6
03/15/25,08:42:00 AM,2,09:43:00 AM,2.4,38.00%,T,7
03/16/25,07:48:00 AM,2,08:48:00 AM,1.8,65.00%,D,8
03/17/25,07:10:00 AM,1.9,08:16:00 AM,2,42.00%,T,9
03/18/25,08:17:00 AM,2,09:17:00 AM,2,51.00%,D,10
03/19/25,05:28:00 AM,2.1,06:28:00 AM,1.9,68.00%,D,11
03/20/25,06:42:00 AM,1.7,07:00:00 AM,2.1,43.00%,T,12
03/21/25,07:41:00 AM,1.7,08:42:00 AM,1.8,66.00%,T,13
03/22/25,07:27:00 AM,1.8,08:25:00 AM,2.1,45.00%,T,14
03/23/25,07:54:00 AM,2.1,08:52:00 AM,1.8,66.00%,D,15
03/24/25,07:44:00 AM,1.9,08:41:00 AM,2.3,33.00%,T,16
03/25/25,07:10:00 AM,1.8,08:11:00 AM,1.7,68.00%,D,17
03/26/25,07:35:00 AM,1.8,08:35:00 AM,1.6,72.00%,T,18
03/27/25,06:45:00 AM,1.9,07:48:00 AM,1.8,45.00%,D,19
03/28/25,07:49:00 AM,1.8,08:50:00 AM,1.6,71.00%,D,20
03/29/25,07:47:00 AM,1.7,08:47:00 AM,1.5,75.00%,T,21
03/30/25,08:45:00 AM,1.6,09:45:00 AM,2,43.00%,D,22
03/31/25,08:03:00 AM,1.9,09:01:00 AM,2.2,31.00%,D,23
04/01/25,07:48:00 AM,2,08:55:00 AM,2.3,31.00%,D,24
04/02/25,06:41:00 AM,2,07:38:00 AM,2.2,43.00%,D,25
04/03/25,07:05:00 AM,1.9,08:07:00 AM,2.1,43.00%,D,26
04/04/25,08:15:00 AM,2,09:15:00 AM,2.1,45.00%,T,27
04/05/25,08:05:00 AM,1.9,09:05:00 AM,2.1,39.00%,D,28
04/06/25,08:17:00 AM,2,09:19:00 AM,1.9,55.00%,D,29
04/07/25,08:27:00 AM,1.8,09:25:00 AM,1.6,73.00%,T,30
04/08/25,07:40:00 AM,1.9,08:37:00 AM,1.8,60.00%,T,31
04/09/25,06:15:00 AM,2,07:16:00 AM,2,55.00%,T,32
04/10/25,06:49:00 AM,2,07:46:00 AM,2.1,46.00%,D,33
04/11/25,06:43:00 AM,1.9,07:41:00 AM,2,45.00%,T,34
04/12/25,06:48:00 AM,1.9,07:46:00 AM,2.2,37.00%,D,35
04/13/25,06:38:00 AM,2,07:38:00 AM,2.1,40.00%,T,36
04/14/25,06:13:00 AM,1.9,07:11:00 AM,1.6,41.00%,T,37
